"zipcode","latitude","longitude"
"04761,46.11900,-67.97260"
"80331,48.13513,11.58198"
"01863,42.63240,-71.39180"
"65265,39.18820,-91.89240"
"59084,47.03680,-108.59600"
"23228,37.60765,-77.47693"
"C0A 2A0,46.43669,-62.64269"
"95635,38.91270,-120.90400"
"86312,34.61000,-112.31500"
"98198,47.40177,-122.32429"
"48555,43.05600,-83.74800"
"H2Y 2E8,45.50021,-73.55664"
"25840,38.09205,-81.14399"
"12442,42.23840,-74.20590"
"66873,38.60710,-96.66140"
"66431,38.87900,-96.01760"
"L2G 1R6,43.08956,-79.08494"
"19047,40.18160,-74.91440"
"30259,33.26630,-84.74080"
"78235,29.34230,-98.43940"
"15530,39.98591,-78.77280"
"16061,41.01880,-79.87550"
"51108,42.55670,-96.36050"
"64070,38.89250,-94.17185"
"44146,41.36700,-81.50394"
"66843,38.14761,-96.68520"
"L6A 1C1,43.85176,-79.52728"
"65459,38.07504,-91.97683"
"19188,39.96420,-75.16060"
"57703,44.02610,-103.07600"
"42241,36.86580,-87.48880"
"25421,39.38360,-78.15580"
"75156,32.33459,-96.15136"
"33527,27.90864,-82.18620"
"35902,34.01450,-86.00640"
"83414,43.68715,-110.73549"
"70597,48.74663,9.17010"
"77075,29.62030,-95.26670"
"65760,36.59040,-92.25720"
"14140,42.81840,-78.67550"
"63851,36.17561,-89.82942"
"42038,37.03005,-88.04030"
"33673,27.99430,-82.45960"
"32605,29.67690,-82.37180"
"73143,35.43300,-97.52470"
"95688,38.41950,-122.02700"
"61322,41.32780,-89.29980"
"75086,33.01970,-96.69880"
"07801,40.92930,-74.54720"
"97471,43.29623,-123.47647"
"26845,39.23927,-78.92114"
"16565,42.06890,-80.09980"
"15530,39.90980,-78.97840"
"05873,44.46350,-72.22310"
"16301,41.47980,-79.67410"
"30294,33.62021,-84.32889"
"28757,35.64860,-82.30160"
"63632,37.29950,-90.26940"
"76635,31.74470,-96.67980"
"07036,40.62160,-74.22960"
"34134,26.39953,-81.83953"
"88007,32.37330,-106.84500"
"62361,39.54686,-90.62042"
"RG30 1EL,51.46135,-1.01033"
"27530,35.35655,-77.97387"
"96011,41.01970,-121.90800"
"66403,39.87200,-96.29660"
"L4K 4K9,43.79887,-79.52618"
"87518,36.47650,-106.58000"
"49071,42.22900,-85.77780"
"16679,40.18060,-78.21170"
"90061,33.90745,-118.27792"
"N0M 1V0,43.21797,-81.30137"
"97348,44.38874,-123.06620"
"97031,45.67901,-121.55452"
"32025,30.16930,-82.62740"
"80945,38.83620,-104.79500"
"55339,44.74100,-93.98120"
"44105,41.45732,-81.63386"
"94222,-0.93484,119.85639"
"R3C 3X2,49.89514,-97.13837"
"32751,28.62778,-81.36312"
"62969,37.16870,-89.35170"
"15761,40.63720,-78.88270"
"V2X 6G2,49.21932,-122.59840"
"69355,41.78430,-103.51600"
"43903,40.47810,-80.97310"
"00602,18.39740,-67.16790"
"13599,43.09680,-75.22830"
"48140,41.88010,-83.57980"
"63180,38.62900,-90.20400"
"08067,39.73000,-75.40000"
"30555,34.97885,-84.37856"
"44035,41.36838,-82.10765"
"06414,41.56360,-72.55680"
"68415,40.04489,-96.85654"
"69145,41.23000,-103.65000"
"94017,37.69770,-122.47900"
"78757,30.35160,-97.73240"
"64113,39.01410,-94.59570"
"02123,42.34630,-71.08710"
"68869,41.02362,-98.74785"
"90003,33.96500,-118.27300"
"26761,39.27000,-78.70180"
"16441,41.93660,-79.98640"
"89199,36.17430,-115.13900"
"83450,43.84130,-112.47610"
"82833,44.68330,-106.99100"
"74010,35.77703,-96.26611"
"99260,47.66310,-117.42300"
"87827,34.33490,-108.27200"
"42746,37.21560,-85.75190"
"62097,38.95570,-89.86420"
"07512,40.90400,-74.22180"
"58759,47.80530,-101.29500"
"17322,39.83290,-76.59230"
"44223,41.16920,-81.52690"
"77218,29.82600,-95.64990"
"53207,43.06000,-87.96000"
"95334,37.35860,-120.74800"
"93067,34.42140,-119.59600"
"14304,43.11533,-78.98538"
"80461,39.21280,-106.34000"
"45822,40.43785,-84.56218"
"54002,44.96000,-92.37000"
"63824,37.00440,-89.52690"
"49454,43.94970,-86.28890"
"34141,25.91056,-81.36444"
"06001,41.79040,-72.86860"
"55063,45.83560,-92.96490"
"63873,36.37256,-89.61647"
"55447,45.00330,-93.48970"
"84143,40.77850,-111.88000"
"81403,38.32499,-107.77978"
"10257,40.71420,-74.00640"
"07927,40.82176,-74.45001"
"59722,46.37000,-112.72000"
"22446,38.19960,-77.38930"
"63383,38.81171,-91.13043"
"68517,40.94500,-96.60310"
"33694,28.07040,-82.49550"
"53704,43.11833,-89.37956"
"22554,38.43520,-77.38130"
"15682,40.68450,-79.66170"
"519-890,35.02249,127.17673"
"N0B 2N0,43.54012,-80.55352"
"98577,46.66177,-123.42543"
"20241,38.89570,-77.05090"
"62049,39.14150,-89.50290"
"89506,39.68380,-119.85800"
"12804,43.34810,-73.67820"
"99918,56.03750,-132.61667"
"75834,31.25790,-95.03990"
"35055,34.18414,-86.79295"
"44136,41.31980,-81.81150"
"36375,31.09140,-85.58350"
"35213,33.50230,-86.74660"
"51431,42.34140,-95.38090"
"07510,40.91090,-74.17270"
"15104,40.39896,-79.84088"
"30168,33.78680,-84.59010"
"50167,41.75061,-94.00826"
"27939,36.24120,-75.90230"
"87512,36.96540,-105.42900"
"62999,37.89570,-89.05160"
"80448,39.41300,-105.61200"
"80420,39.31850,-106.09900"
"75566,33.17000,-94.54000"
"74959,35.26630,-94.66240"
"E7L,46.58206,-67.28923"
"10549,41.20000,-73.73000"
"D12 Y654,53.33020,-6.31057"
"93670,36.48670,-119.25900"
"74741,33.80954,-96.20443"
"45836,40.76202,-83.61356"
"32058,30.08170,-82.10740"
"32328,29.88520,-84.87480"
"60942,40.46000,-87.67000"
"46546,41.66160,-86.15880"
"08052,39.95160,-74.99460"
"15931,40.48942,-78.74762"
"84098,40.74350,-111.54600"
"D12 Y389,53.33020,-6.31057"
"72773,35.92580,-93.90750"
"L0G,43.90219,-79.65270"
"68710,42.42577,-96.83510"
"J7T 1L3,45.30875,-74.02734"
"76802,31.74000,-98.94000"
"55488,44.98000,-93.26350"
"41031,38.27285,-84.36577"
"49272,42.39140,-84.35330"
"35253,33.48700,-86.74130"
"14947,52.13139,13.21625"
"23001,37.28010,-76.44070"
